State,Race,Table Names,Year,Population
MA,Asian,PopByRace2016.csv,2016,415900
MA,Black,PopByRace2016.csv,2016,440400
MA,Hispanic,PopByRace2016.csv,2016,750600
MA,Multiple Races,PopByRace2016.csv,2016,181100
MA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
MA,Total,PopByRace2016.csv,2016,6570600
MA,White,PopByRace2016.csv,2016,4771800
MI,American Indian/Alaska Native,PopByRace2016.csv,2016,40700
MI,Asian,PopByRace2016.csv,2016,281500
MI,Black,PopByRace2016.csv,2016,1304100
MI,Hispanic,PopByRace2016.csv,2016,477300
MI,Multiple Races,PopByRace2016.csv,2016,258100
MI,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
MI,Total,PopByRace2016.csv,2016,9693500
MI,White,PopByRace2016.csv,2016,7330200
MN,American Indian/Alaska Native,PopByRace2016.csv,2016,54200
MN,Asian,PopByRace2016.csv,2016,261800
MN,Black,PopByRace2016.csv,2016,305000
MN,Hispanic,PopByRace2016.csv,2016,277200
MN,Multiple Races,PopByRace2016.csv,2016,141700
MN,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
MN,Total,PopByRace2016.csv,2016,5392900
MN,White,PopByRace2016.csv,2016,4352400
MS,American Indian/Alaska Native,PopByRace2016.csv,2016,12000
MS,Asian,PopByRace2016.csv,2016,26400
MS,Black,PopByRace2016.csv,2016,1085900
MS,Hispanic,PopByRace2016.csv,2016,80500
MS,Multiple Races,PopByRace2016.csv,2016,31400
MS,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
MS,Total,PopByRace2016.csv,2016,2887300
MS,White,PopByRace2016.csv,2016,1651000
MO,American Indian/Alaska Native,PopByRace2016.csv,2016,24900
MO,Asian,PopByRace2016.csv,2016,112300
MO,Black,PopByRace2016.csv,2016,666800
MO,Hispanic,PopByRace2016.csv,2016,236700
MO,Multiple Races,PopByRace2016.csv,2016,141700
MO,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,7200
MO,Total,PopByRace2016.csv,2016,5898000
MO,White,PopByRace2016.csv,2016,4708400
MT,American Indian/Alaska Native,PopByRace2016.csv,2016,61700
MT,Asian,PopByRace2016.csv,2016,8500
MT,Black,PopByRace2016.csv,2016,
MT,Hispanic,PopByRace2016.csv,2016,35600
MT,Multiple Races,PopByRace2016.csv,2016,27600
MT,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
MT,Total,PopByRace2016.csv,2016,1015100
MT,White,PopByRace2016.csv,2016,879200
NE,American Indian/Alaska Native,PopByRace2016.csv,2016,12200
NE,Asian,PopByRace2016.csv,2016,42300
NE,Black,PopByRace2016.csv,2016,81500
NE,Hispanic,PopByRace2016.csv,2016,196000
NE,Multiple Races,PopByRace2016.csv,2016,36700
NE,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
NE,Total,PopByRace2016.csv,2016,1845000
NE,White,PopByRace2016.csv,2016,1475200
NV,American Indian/Alaska Native,PopByRace2016.csv,2016,25100
NV,Asian,PopByRace2016.csv,2016,240000
NV,Black,PopByRace2016.csv,2016,241000
NV,Hispanic,PopByRace2016.csv,2016,824500
NV,Multiple Races,PopByRace2016.csv,2016,99800
NV,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,18800
NV,Total,PopByRace2016.csv,2016,2890400
NV,White,PopByRace2016.csv,2016,1441300
NH,American Indian/Alaska Native,PopByRace2016.csv,2016,
NH,Asian,PopByRace2016.csv,2016,32700
NH,Black,PopByRace2016.csv,2016,13600
NH,Hispanic,PopByRace2016.csv,2016,44600
NH,Multiple Races,PopByRace2016.csv,2016,23100
NH,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
NH,Total,PopByRace2016.csv,2016,1291300
NH,White,PopByRace2016.csv,2016,1175900
NJ,American Indian/Alaska Native,PopByRace2016.csv,2016,8200
NJ,Asian,PopByRace2016.csv,2016,833200
NJ,Black,PopByRace2016.csv,2016,1090900
NJ,Hispanic,PopByRace2016.csv,2016,1756100
NJ,Multiple Races,PopByRace2016.csv,2016,188200
NJ,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
NJ,Total,PopByRace2016.csv,2016,8762700
NJ,White,PopByRace2016.csv,2016,4883400
